family	galga	gasac	ornan	oryla	homsa	sacce	cioin	hydma	nemve	pedhu	ampqu	drome	anoca	musmu	apime	mondo	anoga	danre	loxaf	ciosa	tetni
ORTHOMCL270	0	1	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	2	1	0	2
ORTHOMCL271	1	1	0	1	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1
ORTHOMCL1287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ORTHOMCL1286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ORTHOMCL1285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ORTHOMCL1284	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ORTHOMCL1283	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ORTHOMCL1282	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ORTHOMCL1281	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ORTHOMCL1280	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ORTHOMCL1289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ORTHOMCL1288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ORTHOMCL1117	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL1116	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL1115	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL1114	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL1113	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL1112	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL1111	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1110	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL1119	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL1118	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL1311	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ORTHOMCL1310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ORTHOMCL256	0	2	0	1	1	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	2
ORTHOMCL1312	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL1315	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ORTHOMCL1314	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ORTHOMCL863	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0
ORTHOMCL862	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
